Anime,Director
Black Butler: Book of Circus, Noriyuki Abe
Yona of the Dawn, Kazuhiro Yoneda
Evangelion: 3.0+1.0 Thrice Upon a Time, Kazuya Tsurumaki
Evangelion: 3.0+1.0 Thrice Upon a Time, Mahiro Maeda
Evangelion: 3.0+1.0 Thrice Upon a Time, Katsuichi Nakayama
Scissor Seven 2nd Season, He Xiaofen
Non Non Biyori Nonstop, Shinya Kawatsura
Samurai Champloo, Shinichirou Watanabe
Run with the Wind, Kazuya Nomura
My Dress-Up Darling, Keisuke Shinohara
Grave of the Fireflies, Isao Takahata
Tengen Toppa Gurren Lagann: Lagann-hen, Hiroyuki Imaishi
Haikyuu!! Movie 1: Owari to Hajimari, Susumu Mitsunaka
No Game No Life: Zero, Atsuko Ishizuka
Dragon Ball Super Movie: Broly, Tatsuya Nagamine
Detective Conan Movie 20: The Darkest Nightmare, Koubun Shizuno
Sasaki and Miyano, Shinji Ishihira
Black Lagoon: The Second Barrage, Sunao Katabuchi
Ace of the Diamond: Second Season, Mitsuyuki Masuhara
My Teen Romantic Comedy SNAFU Climax, Kei Oikawa
Evangelion: 2.0 You Can (Not) Advance, Kazuya Tsurumaki
Evangelion: 2.0 You Can (Not) Advance, Masayuki
Major Season 6, Kenichi Kasai
Bungo Stray Dogs Wan!, Satonobu Kikuchi
Rascal Does Not Dream of Bunny Girl Senpai, Souichi Masui
Kingdom 2, Akira Iwanaga
InuYasha: The Final Act, Yasunao Aoki
Major Season 3, Kenichi Kasai
Bungo Stray Dogs Movie: Dead Apple, Takuya Igarashi
Major: World Series, Toshinori Fukushima
Overlord, Naoyuki Itou
World Trigger 3rd Season, Morio Hatano
Blue Spring Ride: Page.13, Ai Yoshimura
Hunter x Hunter OVA 2: Greed Island, Yukihiro Matsushita
Monster, Masayuki Kojima
Fullmetal Alchemist, Seiji Mizushima
Kids on the Slope, Shinichirou Watanabe
One Piece Film: Z, Tatsuya Nagamine
Hunter x Hunter, Kazuhiro Furuhashi
A Place Further Than the Universe, Atsuko Ishizuka
Major Season 2, Kenichi Kasai
"Welcome to Demon School, Iruma-kun 2", Makoto Moriwaki
