Anime,Director
Majokko Megu-chan, Yugo Serikawa
Street Fighter Alpha: The Movie, Shigeyasu Yamauchi
Resident Evil: Infinite Darkness, Eiichirou Hasumi
Tales of a Street Corner,Osamu Tezuka
Queen Millennia Movie, Masayuki Akihi
Shinkaigyo no March,Kousuke Sugimoto
Tomohiko Banse: Calihara no Uta,Miyo Sato
Handsome Kenya: Tenuto,Kousuke Sugimoto
Kaidan Restaurant, Yoko Ikeda
eX-Driver the Movie, Akira Nishimori
Zenki Gaiden: Anki Kitan, Junji Nishimura
The Everyday Tales of a Cat God: Ohanami Ghostbusters, Hiroaki Sakurai
Hell Girl: Fourth Twilight, Takahiro Oomori
Detonator Orgun, Masami Obari
The [email protected]: Cinderella Girls Theater (Web), Mankyuu
GR -Giant Robo-, Ren Usami
Handsome Kenya: Korekuraide Utau,Kousuke Sugimoto
Mikito-P: Daiyogen,Sena Makino
One Pound Gospel, Osamu Dezaki
Kuroi Ame ni Utarete, Takeshi Shirato
Otanjoubi Omedetou,Seiichi Hayashi
Tekken x Customs: Mamoru Hikitsugu Watashi-tachi no Kurashi,Tekken
Locke the Superman: New World Command, Takeshi Hirota
RahXephon OVA, Tomoki Kyoda
Yamadeloid,Takashi Horiuchi
Azuki-chan, Masayuki Kojima
Casshan, Hiroyuki Fukushima
Casshan, Takao Koyama
Youkai Watch, Shinji Ushiro
Rudolf the Black Cat, Kunihiko Yuyama
Rudolf the Black Cat, Motonori Sakakibara
GeGeGe no Kitarou (1985), Osamu Kasai
GeGeGe no Kitarou (1985), Hiroki Shibata
Eiyuu Gaiden Mozaicka,Ryousuke Takahashi
Kämpfer für die Liebe, Yasuhiro Kuroda
Silent Service, Ryousuke Takahashi
Pokemon Movie 16: Genesect and the Legend Awakened, Kunihiko Yuyama
Nanami-chan 3rd Series, Tatsutoshi Nomura
World Conquest Zvezda Plot: Shin Zvezda Daisakusen, Tensai Okamura
Kuro Gyaru ni Natta kara Shinyuu to Yattemita., Chokkou
Yakusoku,Tekken
Kuripuri*Kuripura,Taku Furukawa
Boku to Deja Vu,Kouji Nanke
Tokyo Cosmo,Takahiro Miyauchi
Gatchaman OVA, Akihiko Nishiyama
Koukyoushihen: Eureka Seven - Hi-Evolution 1, Hisatoshi Shimizu
Bubu & Bubulina, Takashi Nakamura
Sacred Seven, Yoshimitsu Oohashi
Cyborg 009: The Cyborg Soldier, Jun Kawagoe
Celestial Method, Masayuki Sakoi
Medabots Damashii, Masatsugu Arakawa
Aimer: Everlasting Snow,Gaku Kinoshita
Shikisai Manga no Dekiru Made,Shigeji Ogino
Let's Make a Mug Too, Jun Kamiya
Encouragement of Climb, Yuusuke Yamamoto
"Ganbare, Douki-chan", Kazuomi Koga
Shi Xiong, Heng Yu Lu
Shi Xiong, Shu Jie Li
Hello! Sandybell, Hiroshi Shidara
Nekomonogatari (Black) Recap, Tomoyuki Itamura
Sindbad no Bouken, Fumio Kurokawa
Glassy Ocean, Shigeru Tamura
Maware Toroika,Kousuke Sugimoto
Imokawa Mukuzo: Genkanban no Maki,Hekoten Shimokawa
To Heart 2, Norihiko Sutou
Bannertail: The Story of Gray Squirrel, Yoshio Kuroda
Chou Seimeitai Transformers: Beast Wars Neo, Osamu Sekita
Denshinbashira Elemi no Koi, Hideto Nakata
Mashin Eiyuuden Wataru 2, Shuji Iuchi
Pokemon Movie 22: Mewtwo Strikes Back Evolution, Kunihiko Yuyama
Pokemon Movie 22: Mewtwo Strikes Back Evolution, Motonori Sakakibara
Super Street Fighter IV, Fuminori Kizaki
Clover, Kitarou Kousaka
Pipopapo Patrol-kun, Mitsuo Hashimoto
Itsumo Kokoro ni Ho,Tekken
Wild Knights Gulkeeva, Masamitsu Hidaka
Channeler,Takashi Ohashi
Poccolies, Yuuji Nagatani
Hoshikuzu Paradise, Masato Namiki
Beast Wars II Chou Seimeitai Transformers, Osamu Sekita
Huckleberry no Bouken, Hiroyoshi Mitsunobu
Megazone 23 Part III, Shinji Aramaki
Megazone 23 Part III, Kenichi Yatagai
THE CHARM PARK: Gravity,Kousuke Sugimoto
Ninja Scroll BURST,Yoshiaki Kawajiri
Sohryuden: Legend of the Dragon Kings, Hisayuki Toriumi
Sohryuden: Legend of the Dragon Kings, Norio Kashima
Sohryuden: Legend of the Dragon Kings, Kyousuke Mikuriya
Perman (1983), Hiroshi Sasagawa
Mizu no Tane, Tadanari Okamoto
Spirit of Wonder: Miss China's Ring, Mitsuru Hongo
Ichiban Chikakute Tooi Hoshi, Loundraw
Wakakusa Monogatari, Yugo Serikawa
Kite (2020),Kunio Kato
Chainsaw Bunny: Deleted Scene,Takena Nagao
Dr. Slump Movie 1: Hello! Wonderland, Minoru Okazaki
Prefectural Earth Defense Force, Keiji Hayakawa
Dame Oyaji, Hisashi Sakaguchi
Dame Oyaji, Fumio Ikeno
Asatte Dance, Teruo Kogure
Star Ocean EX, Hiroshi Watanabe
Jewelpet, Nanako Sasaki
Warau kumo,Keiichi Tanaami
A Tree of Palme, Takashi Nakamura
Guardian Ninja Mamoru!, Yoshitaka Fujimoto
77 Danui Bimil,Seung-Cheol Park
Cell no Koi,Kunio Kato
Kenji Nojima: Don't Worry - Monotarinai Monogatari,Kousuke Sugimoto
AMAIM Warrior at the Borderline, Nobuyoshi Habara
Earl and Fairy Specials, Kouichirou Soutome
Galactic Gale Baxinger, Yoshikata Nitta
"Oam Monogatari: Sono Natsu, Watashi ga Shitta Koto", Futoshi Matsumoto
Final Approach, Takashi Yamamoto
Fairy Musketeers OVA, Tetsurou Araki
Shounen Ninja Kaze no Fujimaru, Daisaku Shirakawa
Shounen Ninja Kaze no Fujimaru, Kimio Yabuki
Sakura Wars: The Movie, Mitsuru Hongo
The Magnificent KOTOBUKI, Tsutomu Mizushima
Katte ni Kaizou Specials, Naoyuki Tatsuwa
Wedding Peach DX, Kunihiko Yuyama
Aoi Blink, Seitaro Hara
High School! Kimengumi, Hiroshi Fukutomi
Guyver: Out of Control, Hiroshi Watanabe
Magical Angel Sweet Mint, Hisatarou Ooba
Shoujo Conto All Starlight, Junichi Yamamoto
Kodanuki Ponpo,Tadahiko Horiguchi
Fireball Charming, Wataru Arakawa
Keroro, Haruki Kasugamori
Oda Shinamon Nobunaga, Hidetoshi Takahashi
Girl's High Specials, Yoshitaka Fujimoto
The Grouse in Snow Mountain,Hiroko Satsuma
Kaijuu Step Wandabada, Yuuji Umoto
Gen Hoshino: Sarashimono,Ryu Okubo
New Cutey Honey, Yasuchika Nagaoka
Shadow Skill: Secret of the Kurudan Style, Kazuya Ichikawa
Gatchaman II, Hisayuki Toriumi
Digimon Savers, Naoyuki Itou
Kiss Dum: Engage Planet, Hidekazu Satou
Morita-san wa Mukuchi, Naotaka Hayashi
Shiritsutantei: Toki Shouzou Trouble Note - Hard & Loose, Noboru Ishiguro
Are wa Dare?,Tadanari Okamoto
Kiteretsu Daihyakka, Keiji Hayakawa
Kiteretsu Daihyakka, Hiro Katsuoka
Legend of the Millennium Dragon, Hirotsugu Kawasaki
Nippon-ichi no Otoko no Tamashii 2, Hiroyoshi Yoshida
Hikaru Utada: Beautiful World, Kazuya Tsurumaki
Tesagure! Bukatsumono: Spin-off Puru Purun Sharumu to Asobou, Kotaro Ishidate
Wonder-kun no Hatsu Yume Uchuu Ryokou, Suguru Sugiyama
Mushi no Tsubuyaki,Haruka Suzuki
Pupipo!, Kaoru Suzuki
Silent Mobius: The Motion Picture 2, Yasunori Ide
Hitohira, Akira Nishimori
Meine Liebe Wieder, Shinya Kawatsura
Tomorrow from there, Akemi Hayashi
Mirai Kara Kita Shounen Super Jetter, Haruyuki Kawajima
Yagami-kun's Family Affairs, Shinya Sadamitsu
DNA², Junichi Sakata
Fate/Kaleid Liner Prisma Illya: Undoukai de Dance!, Takashi Sakamoto
Genki!! Ekoda-chan, Benpineko
Kisha no Hattatsu,Yasuji Murata
The Disappearance of Nagato Yuki-chan, Junichi Wada
Tai Chi Chasers, Hiroki Shibata
Five Star Stories, Kazuo Yamazaki
Ace wo Nerae! Movie, Osamu Dezaki
To Heart: Remember My Memories, Keitarou Motonaga
Moonlit Night & Opal,Shishi Yamazaki
MTV ULTRAHITS: Wild Cleaner ID,Densuke28
MTV ULTRAHITS: Wild Cleaner ID, Wataru Watanabe
Shizunde Iku yo,Izumi Tanaka
Nozomi Witches, Gisaburou Sugii
ClariS: Connect, Takumi Shiga
The Enchanted Journey, Hideo Nishimaki
Trickster, Masahiro Mukai
Kura Sushi,Kousuke Sugimoto
Miyuki, Mizuho Nishikubo
Nanaka 6/17, Hiroaki Sakurai
Koncos: The Starry Night,Kakeru Mizui
Nakanaide,Kouji Nanke
iMarine Project: Sunny Days! MMD,Wakamurap
"How Clumsy you are, Miss Ueno", Tomohiro Tsukimisato
Seton Doubutsuki: Kuma no Ko Jacky, Yoshio Kuroda
Magical Girl Site, Tadahito Matsubayashi
Ocean Waves, Tomomi Mochizuki
Gourmet Girl Graffiti, Naoyuki Tatsuwa
Paul no Miracle Dai Sakusen, Hiroshi Sasagawa
Meow Meow Japanese History, Tomohiro Kawamura
Ogre Slayer, Yoshio Kato
Plus 50000-nen,Shinichi Suzuki
Zamagi: It's So Good Now,Ac-Bu
Christmas in January, Satoshi Dezaki
Gatchaman, Hisayuki Toriumi
Miss Kuroitsu From the Monster Development Department, Hisashi Saitou
Persona: Trinity Soul, Atsushi Matsumoto
Chikara Bashi,Tadanari Okamoto
Potecco Babies (2011), Yosuke Suzuki
Dragon Knight: Wheel of Time, Hiromichi Matano
Ninpuu Kamui Gaiden, Yonehiko Watanabe
Chaos;Child: Silent Sky, Masato Jinbou
Armored Trooper Votoms Case;Irvine, Shishou Igarashi
Wanpaku Ouji no Orochi Taiji, Yugo Serikawa
Transformers: Cybertron, Hiroyuki Kakudou
Transformers: Cybertron, Manabu Ono
Delinquent Hamsters, Yuupiso
Getting dressed,Aico Kitamura
Clockwork Planet, Tsuyoshi Nagasawa
Katana Maidens: Toji no Miko, Koudai Kakimoto
Overflow, Rei Ishikura
Massugu ni Ikou, Kiyotaka Isako
Touken Ranbu: Hanamaru, Takashi Naoya
Long Riders!, Tatsuya Yoshihara
Miracle Shoujo Limit-chan, Takeshi Tamiya
Honey-Honey, Takeshi Shirato
Honey-Honey, Yoshikata Nitta
DECO*27: Nocturnal Kids,Yuma Saito
Flower Witch Mary Bell, Tetsuya Endou
Golgo 13: The Professional, Osamu Dezaki
Yamishibai: Japanese Ghost Stories 2nd Season, Takashi Shimizu
Yamishibai: Japanese Ghost Stories 2nd Season, Noboru Iguchi
Pokemon Mystery Dungeon: Explorers of Time and Darkness, Kunihiko Yuyama
Hitomi no Naka no Shounen: 15 Shounen Hyouryuuki, Yoshio Kuroda
Shin Kabukichou Story Hana no Asukagumi!, Atsutoshi Umezawa
Obaa-chan Moshikashite,Seiichi Hayashi
Japan Media Arts Festival 2019 Introduction Animation,Kouhei Yoshino
Robotica * Robotics, Soubi Yamamoto
Transformers: The Headmasters, Katsutoshi Sasaki
Hikari no Densetsu, Tomomi Mochizuki
Masamune-kun's Revenge OVA, Mirai Minato
Futakoi, Nobuo Tomizawa
The Prince and the Coral Sea, Tomoharu Katsumata
The [email protected]: Cinderella Girls Theater 2nd Season, Mankyuu
Jushin Riger, Norio Kashima
Minamo,Mirai Mizue
Wormy,Kakeru Mizui
Sekai no Owari: Present,Tekken
Ghiblies, Yoshiyuki Momose
Rumble Garanndoll, Masaomi Andou
Kigyou Senshi Yamazaki: Long Distance Call, Tsuneo Tominaga
bloodthirsty butchers: Jack Nicholson,Mitsuyuki Ishibashi
Mu Di,Te Wei
Mu Di, Jiajun Qian
Toward the Terra, Hideo Onchi
Mamotte Shugogetten!, Yukio Kaizawa
Schwarzesmarken, Tetsuya Watanabe
Matoi the Sacred Slayer, Masayuki Sakoi
Sacred Seven Movie: Shirogane no Tsubasa, Yoshimitsu Oohashi
Riddle Story of Devil: Who Is the Winner? (Pop Quiz), Keizou Kusakawa
Gad Guard, Hiroshi Nishikiori
Macross FB7: Ginga Rukon Ore no Uta wo Kike!, Tetsurou Amino
Astroganger, Masashi Nitta
Uchuu wa Tanoshii Festival,Taku Furukawa
X: The Movie, Rintarou
The Heroic Legend of Arslan: The Blade to Retake the Kingdom, Noriyuki Abe
Norn9, Takao Abo
Astro Boy: Shinsengumi, Satoshi Kuwabara
FAKE TYPE. La Primavera, Rojiko
FAKE TYPE. La Primavera, Buki
FAKE TYPE. La Primavera, Norainu
Ryokuoushoku Shakai: Mela!,Naoto Watanabe
Komatta Jii-san, Hiroshi Namiki
Fight Ippatsu! Juuden-Chan!!, Shinichirou Kimura
Mafumafu: Ringo Hanabi to Soda no Umi,Mafuteru
Mr. Deniroo in Henteko Mushi,Tatsushi Momen
Digimon Universe: Appli Monsters, Gou Koga
Sleepy,Taku Furukawa
Bakuto Sengen Daigander, Hiroyuki Yano
Lemon Angel Project, Daisuke Chiba
Kangaeru Jikan,Mika Seike
Space Shower TV: Space Shower Man - Legacy for the Future ID, Densuke28
Kizuna Ichigeki, Mitsuru Hongo
Kazaguruma,Taku Furukawa
Tabi wa Michizure Yo wa Nasake,Tadanari Okamoto
Cyborg 009 vs Devilman, Jun Kawagoe
Ozanari Dungeon, Motoo Koyama
Slow Step, Kunihiko Yuyama
Arata the Legend, Kenji Yasuda
Sunset Flower Blooming,Yuanyuan Hu
Battle Spirits: Brave, Akira Nishimori
Legend of the Forest, Osamu Tezuka
Mobile Suit Gundam AGE, Susumu Yamaguchi
Natsuiro no Sunadokei, Takahiro Okao
Ultramarine Magmell, Hayato Date
CLIMBER,Akifumi Nonaka
Cyborg 009: Legend of the Super Galaxy, Ryuzo Nakanishi
The Three Musketeers, Kunihiko Yuyama
Panda! Go Panda! Rainy Day Circus, Isao Takahata
All Purpose Cultural Cat Girl Nuku Nuku, Yoshio Ishida
Sentai Hero Sukiyaki Force, Akiko Saito
Phantom Quest Corp, Morio Asaka
Phantom Quest Corp, Kouichi Chigira
Phantom Quest Corp, Takuji Endo
Phantom Quest Corp, Junichi Sakata
Chouju Kishin Dancougar: Hakunetsu no Shuushou,Tatsuji Yamazaki
Metal Fight Beyblade vs. Taiyou: Shakunetsu no Shinryakusha Sol Blaze, Kunihisa Sugishima
"Call of the Wild: Howl, Buck", Kouzou Morishita
Oedo wa Nemurenai!, Kouichi Chigira
Wakaokami wa Shougakusei!, Mitsuyuki Masuhara
Zutomayo: Humanoid,Notai
Digimon Xros Wars, Tetsuya Endou
Sonic Soldier Borgman, Hiroshi Negishi
By Your Side, Tsuneo Goda
Koji Nakamura: B.O.Y.,Tetsuya Tatamitani
Uchuusen Sagittarius, Kazuyoshi Yokota
Ookina Onaka,Osamu Sakai
Pokemon: Pikachu and Pichu, Kunihiko Yuyama
Tamagotchi! Tamatomo Daishuu GO, Jouji Shimura
Way back to the Sea, Kaori Iwase
Iketeru Futari, Takeshi Yamaguchi
Beast Wars II Chou Seimeitai Transformers Movie, Akira Nishimori
Great Mazinger vs Getter Robo, Masayuki Akihi
Kouya no Shounen Isamu, Yoshikata Nitta
Kouya no Shounen Isamu, Kyousuke Mikuriya
iMarine Project: Marine Dreamin' MMD,Wakamurap
Drive Agent Personal: Shiawase wo Mamoru Mono, Kenji Kawasaki
Zoku Gosenzo San'e, Shinichi Masaki
Gdleen, Takao Kato
Gdleen, Toyoo Ashida
Di Gi Charat, Hiroaki Sakurai
Nippon-ichi no Otoko no Tamashii, Hiroyoshi Yoshida
Manga Nippon Mukashibanashi,Tsuneo Maeda
COSMIC!,Hiroco Ichinose
Seijuu Kirin Creative Relay,Sawako Kabuki
Seijuu Kirin Creative Relay, Shishi Yamazaki
Seijuu Kirin Creative Relay, Syunichi Suge
Seijuu Kirin Creative Relay, Yoko Kuno
Robber's Company, Kei Takao
Angelique, Shin Katagai
Zou no Senaka: Tabi-Datsu Hi, Aya Shiroi
Nutcracker Fantasy, Takeo Nakamura
Lord of Lords Ryu Knight: Adeu's Legend, Masashi Ikeda
GeGeGe no Kitarou: Nippon Bakuretsu!!, Tsuyoshi Koga
Takoyaki Mant-Man, Akira Shigino
Takoyaki Mant-Man, Masami Anno
Jungle King Tar-chan, Hitoshi Nanba
Watashi to Watashi: Futari no Lotte, Kenji Kodama
Sotsugyou Mae: 10-hi de 100 no Dekigoto,Seiichi Hayashi
Danguard Ace, Tomoharu Katsumata
Kikou Keisatsu Metal Jack, Kiyoshi Egami
Kikou Keisatsu Metal Jack, Hiroshi Matsuzono
Higurashi no Naku Koro ni Kira, Hideki Tachibana
Yoninme no Ousama,Makoto Wada
Kimi ga Wasureta Ookina Mono,Kouji Nanke
in the sea and near a girl.,Masanobu Hiraoka
Angel's 3Piece!, Shinsuke Yanagi
Space Fantasia 2001 Nights, Yoshio Takeuchi
Busou Shinki Moon Angel, Masayuki Kojima
Qualidea Code, Kenichi Kawamura
Burn Up! Excess, Shinichirou Kimura
Hana wa Saku,Sunao Katabuchi
Chiruri,Kenji Kawasaki
"Oh, Suddenly Egyptian God", Katsuya Kikuchi
Night Raid 1931: Demon of the Opium Den, Atsushi Matsumoto
Heidi, Isao Takahata
The Curlydog Story,Asami Ike
Bananya, Kyou Yatate
Ranpo Kitan: Game of Laplace, Seiji Kishi
Re-Kan!, Masashi Kudou
Shounen Ashibe: Go! Go! Goma-chan (2017), Nobuhiro Kondou
Next A-Class, Mizuho Nishikubo
Astro Boy (1980), Satoshi Dezaki
Jin: days,Sidu
Rance: Sabaku no Guardian, Tsuneo Tominaga
Jiu Se Lu,Jiajun Qian
Tekkaman Blade II, Hideki Tonokatsu
Turn A Gundam I: Earth Light, Yoshiyuki Tomino
GoShogun: The Time Etranger, Kunihiko Yuyama
Patalliro! Stardust Keikaku, Nobutaka Nishizawa
Bollogi Iyagi,Jinman Kim
Licca the Movie: Licca-chan to Yamaneko Hoshi no Tabi, Tsutomu Shibayama
Furusato (2013),Osamu Sakai
Modern Magic Made Simple: Cruncha Cruncha Cruncha, Yasuhiro Kuroda
The Qwaser of Stigmata II, Hiraku Kaneko
The Wonderful Adventures of Nils Holgersson, Hisayuki Toriumi
Akiba's Trip: The Animation, Hiroshi Ikehata
Yell,Kouji Nanke
Pokke,Aya Shiroi
Sol Bianca: The Legacy, Hiroyuki Ochi
PEOPLE 1: Jouyatou,Coalowl
Sweet Spot, Gisaburou Sugii
Tokyo 7th Sisters: Seventh Haven, Shintarou Motegi
Onigakure Yama no Soba no Hana,Tadanari Okamoto
Money Wars: Nerawareta Waterfront Keikaku, Yoriyasu Kogawa
Mizuiro, Kiyotaka Isako
Joker, Yukiyo Teramoto
Hamtaro Movie 3: Ham Ham Gran Prix Aurora Tani no Kiseki: Ribbon-chan Kiki Ippatsu, Osamu Dezaki
Hustle Punch, Hiroshi Ikeda
Rita et Machin, Jun Takagi
Rita et Machin, Pon Kozutsumi
Minky Momo, Kunihiko Yuyama
Nurse Witch Komugi Z, Yoshitomo Yonetani
Nurse Witch Komugi Z, Kou Matsuzono
Crying Freeman, Daisuke Nishio
Crying Freeman, Shigeyasu Yamauchi
Crying Freeman, Takaaki Yamashita
Crying Freeman, Nobutaka Nishizawa
Crying Freeman, Johei Matsuura
Entaku no Kishi Monogatari: Moero Arthur, Tomoharu Katsumata
Entaku no Kishi Monogatari: Moero Arthur, Masayuki Akehi
Dance in the Vampire Bund Recap, Akiyuki Simbo
Dance in the Vampire Bund Recap, Masahiro Sonoda
Wacky TV Na Na Na, Satoshi Fumihara
12-Sai: Chiccha na Mune no Tokimeki, Masaharu Okuwaki
Yubisaki kara no Honki no Netsujou: Osananajimi wa Shouboushi, Toshihiro Watase
High School Aurabuster, Hajime Kamegaki
Little Lulu to Chicchai Nakama, Fumio Kurokawa
Boku wa Kimi no Namida,Kouji Nanke
Kumo no Mori Marcus, Shinji Takamatsu
Pokemon: Pikachu's Rescue Adventure, Kunihiko Yuyama
Blue Seed Beyond, Jun Kamiya
Blue Seed Beyond, Kiyoshi Murayama
Blue Seed Beyond, Yasushi Murayama
Blood-C, Tsutomu Mizushima
Galaxy Cyclone Braiger, Takao Yotsuji
Tokyo Babylon, Kouichi Chigira
A Branch of a Pine Is Tied up,Tomoyasu Murata
Tide-Line Blue, Umanosuke Iida
Ghost in the Shell: Arise - Logicoma Specials, Eiji Inomoto
Recorder and Randsell, Hiroshi Kimura
Dededen, Hiro Kaburagi
Dededen, Norihiro Naganuma
Gravion Zwei, Masami Obari
Night Head 2041, Takamitsu Hirakawa
Dear November boy.,Takeshi Yashiro
Ran,Eri Kinoshita
Monster Rancher, Hiroyuki Yano
Gundam Build Divers: Battlogue, Masami Obari
NINO & Evan Call: Jyou Jyou,Takaharu Shimizu
Doki Doki School Hours, Yoshiaki Iwasaki
"Stella Women's Academy, High School Division Class C3", Masayoshi Kawajiri
Strike Witches OVA, Kunihisa Sugishima
Kamisama Minarai: Himitsu no Cocotama, Norio Nitta
Mighty Orbots, Osamu Dezaki
"Mattsu, Yamma and Moburi: The Mystery of the Seven Gems and the Flying Castle", Saku Sakamoto
Umi e Kite,Kouji Nanke
Dinosaur Biyori, Akifumi Nonaka
Akai Hana Shiroi Hana,Seiichi Hayashi
Irodorimidori: Tanitsu Shikousei Overbloom, Tohru Mitsuhashi
God Bless Dancougar, Jutaro Oba
God Bless Dancougar, Hisatarou Ooba
"Mattsu, Yamma and Moburi 2: Navy's Treasure and Islands with Mystery to Be Hunted", Saku Sakamoto
Miss Monochrome 3, Yoshiaki Iwasaki
Mass Effect: Paragon Lost, Atsushi Takeuchi
Karasu Tengu Kabuto, Takashi Watanabe
Karasu Tengu Kabuto, Gen Fukuda
Fastening Days 3, Tomotaka Shibayama
Daphne in the Brilliant Blue, Takashi Ikehata
Gakumon! Ookami Shoujo wa Kujikenai, Kenshiro Morii
Kanta and the Deer, Hideo Watanabe
YU-NO: A Girl Who Chants Love at the Bound of This World, Tetsuo Hirakawa
The Cherry Tree, Tomoharu Katsumata
Ocha-ken: Chokotto Monogatari, Mitsuko Ooya
"Slime Boukenki: Umi da, Yeah!", Masaaki Yuasa
Mr. Children: Himawari,Toshiaki Hanzaki
Hamtaro Movie 2: Ham Ham Ham~Jya! Maboroshi no Princess, Osamu Dezaki
Henkei Sakuhin Dai 1-ban,Keita Kurosaka
Oretachi ni Tsubasa wa Nai: Hada-iro Ritsu Kyuu-wari Zou!?, Shinji Ushiro
Adult Swim Festival 2019 Animation,Sawako Kabuki
Comic Party Revolution OVA, Junichi Sakata
The Doraemons: Mushimushi Pyonpyon Daisakusen!, Yoshitomo Yonetani
Ima demo Senchou to Yobarete iru Senchou no Yoru,Yoshiyuki Takeguchi
Niji-iro Prism Girl, Yoshitaka Fujimoto
Submarine Super 99, Hiromichi Matano
Maetel Legend, Kazuyoshi Yokota
"Katri, Girl of the Meadows", Hiroshi Saito
3000 Leagues in Search of Mother, Isao Takahata
12-Sai., Seiki Taichuu
Kinnikuman II Sei: Ultimate Muscle, Toshiaki Komura
Cutey Honey Flash, Noriyo Sasaki
Hikaru Utada: Sakura Nagashi,Hibiki Yoshizaki
Warau Salesman, Yoshitomo Yonetani
Warau Salesman, Toshirou Kuni
gdgd Fairies 2, Souta Sugahara
Panda! Go Panda!, Isao Takahata
My Life, Junichi Yamamoto
NG Knight Lamune & 40, Hiroshi Negishi
"Bagi, the Monster of Mighty Nature", Osamu Tezuka
Ys II: Castle in the Heavens, Takashi Watanabe
Mizuiro Jidai, Hiroko Tokita
Inugami-san to Nekoyama-san, Shinpei Nagai
G.I. Joe: Sigma 6, Koubun Shizuno
Meimon! Daisan Yakyuubu, Hiroshi Fukutomi
Bakuhatsu Goro, Hiroyuki Torii
Bakuhatsu Goro, Takahiro Okada
Fruity Samurai,Kiminori Tagami
Tomoko Oshima: Tadaima.,Tomoko Oshima
Karada Sagashi, Kazunobu Fuseki
Keina Suda: MUG,Tarafu Otani
Tenshi Nanka ja Nai, Hiroko Tokita
Namida no Chikara,Kouji Nanke
paco: September,Kouhei Yoshino
Powder: New Tribe,Ac-Bu
Holiday Advent Calendar 2018,Asami Ike
TAIYO KIKAKU’s 49th Anniversary Movie,Ayako Hiroki
MTV: After Hours ID, Densuke28
Lord of Lords Ryu Knight: Adeu's Legend Final, Tsukasa Dokite
Ikkitousen, Takashi Watanabe
If Her Flag Breaks, Ayumu Watanabe
Angel Tales, Kazuhiro Ochi
Yu-Gi-Oh! Sevens, Nobuhiro Kondou
Ojiichan ga Kaizoku Datta Koro,Tadanari Okamoto
Another Time,Chiaki Shibata
Pandora in the Crimson Shell, Munenori Nawa
The [email protected]: Xenoglossia, Tatsuyuki Nagai
Saint Beast: Kouin Jojishi Tenshitan, Nanako Shimazaki
Comic Party Revolution, Junichi Sakata
Comic Party Revolution, Mitsuhiro Tougou
Chocolat no Mahou, Shinichirou Kimura
Pokemon: Meloetta's Moonlight Serenade, Kunihiko Yuyama
Si Ling Bianma: Zhi Shijie Caozong Zhe,Wang Zixuan
Mobile Suit Gundam-san: Hiyoko Days - Suisei Hiyoko to Fushigi na Ofuda,Mankyuu
Yoshiko Hanzaki: Ashita e Mukau Hito,Toshiaki Hanzaki
Q Transformers: Saranaru Ninkimono e no Michi, Kotaro Ishidate
Mushi-Uta, Kazuo Sakai
Captain Earth, Takuya Igarashi
Wakako-zake, Minoru Yamaoka
Agatha Christie's Great Detectives Poirot and Marple, Naohito Takahashi
Chou Yuu Sekai: Being the Reality, Masahiro Sonoda
Chou Yuu Sekai: Being the Reality, Hatsuki Tsuji
Legendz: Yomigaeru Ryuuou Densetsu, Akitarou Daichi
God Eater Rezo Nantoka Gekijou, Parako Shinohara
Kumorina: Namae no Nai Hi,Takaharu Shimizu
Shining Tears X Wind, Hiroshi Watanabe
Duel Masters!, Shinobu Sasaki
Disney Tsum Tsum, Hiroshi Chida
Lord of Lords Ryu Knight, Akitoshi Ohmori
Katte ni Shirokuma, Hiroshi Sasagawa
Shiritsu Ebisu Chuugaku: Donten,Tomoko Oshima
Idol Tenshi Youkoso Yoko, Tetsurou Amino
Saint Beast: Ikusen no Hiru to Yoru Hen, Masayuki Sakoi
Nikuiyo! Galbi-kun: Kemuri ga Me ni Shimiru,Michiya Katou
Three Workers,Saki Iyori
Planetarium,Hirota Hirata
Under the Dog, Masahiro Andou
Naite Ita Onnanoko,Sadao Tsukioka
Chiisana Tegami,Taku Furukawa
Kuma no Nuigurumi,Sadao Tsukioka
Tokyu Plaza Ginza Open,Atsushi Makino
Hill Climb Girl, Azuma Tani
Kill Me Baby, Yoshiki Yamakawa
Arui Tekoteko,Aya Shiroi
Million Arthur 2nd Season, Youhei Suzuki
Transformers: Victory, Yoshikata Nitta
Fully cooked for you,Yuka Imabayashi
EZ3kiel: L'Oeil du Cyclone,Masanobu Hiraoka
The Ambition of Oda Nobuna Recap, Yuuji Kumazawa
Yoshiharu Abe: Shiroi Niji,Masanobu Hiraoka
Tantei Opera Milky Holmes: Alternative, Yoshiaki Iwasaki
Fox Fears, Miyo Sato
Radio Wave,Ryoutaro Miyajima
XPICE, Tsubasa Nakai
Steam Detectives, Yasushi Murayama
Karma,Nobuhiro Aihara
Wonder 3, Taku Sugiyama
eX-Driver Danger Zone, Shinichi Watanabe
Gargoyle of the Yoshinagas, Iku Suzuki
Hina Logi: From Luck & Logic, Hiroaki Akagi
801 T.T.S. Airbats, Junichi Sakata
801 T.T.S. Airbats, Shin Misawa
801 T.T.S. Airbats, Tooru Yoshida
801 T.T.S. Airbats, Osamu Mikasa
Space Runaway Ideon: Contact, Toshifumi Takizawa
Magical Star Magical Emi, Takashi Annou
Magical Star Magical Emi, Osamu Kobayashi
Jetter Mars, Rintarou
Will Hatching Day Come?,Chayanit Kiatchokechaikul
Sengoku Night Blood, Katsuya Kikuchi
